question,model_answers
Common image augmentation techniques:,"Flip, rotate, crop, color jitter, zoom"
Text augmentation techniques:,"Synonym replacement, back translation, random insertion"
What is tokenization?,"Splitting text into words, subwords, or characters"
What is stemming?,"Reducing words to base/root form (e.g., runningâ†’run)"
What is lemmatization?,Reducing words to dictionary base form using morphological analysis
What are stop words?,"Common words (the, a, is) often removed as they add little meaning"
TF-IDF:,Term Frequency Ã— Inverse Document Frequency â€” weight for rare important words
Bag of Words (BoW):,Represents text as word count vector ignoring order
What is word padding in NLP?,Adding zeros/special tokens to make sequences equal length
What is truncation in NLP?,Cutting sequences to maximum length
What is data pipeline?,Automated sequence of data processing steps
"What is ETL (Extract, Transform, Load)?","Process of extracting data, transforming it, loading to destination"
What is feature store?,"Centralized system to store, share, and serve ML features"
What is data versioning?,"Tracking changes to datasets over time (e.g., DVC)"
What is schema validation?,Checking if data follows expected structure and types
What is data drift?,Statistical properties of input data change over time in production
What is covariate shift?,Distribution of input features changes between train and test/prod
What is label noise?,Incorrectly labeled training examples
What is data cleaning?,"Correcting errors, removing duplicates, handling missing/outliers"
What is deduplication?,Identifying and removing duplicate records
What is type casting in data preprocessing?,"Converting data from one type to another (e.g., string to datetime)"
What is datetime feature extraction?,"Creating features from datetime (hour, day, month, weekday)"
Cyclical encoding for time features:,"Using sine and cosine to capture cyclical nature (e.g., hour of day)"
What is geospatial feature engineering?,"Creating features from lat/lon (distance, clustering, area)"
What is the Winsorization technique?,Capping extreme values at specified percentiles
What is data leakage in preprocessing?,Information from future/test leaks into training via preprocessing
How to prevent leakage in preprocessing?,Fit preprocessing transformers only on training data
What is the correct order: split then scale OR scale then split?,"Split first, then scale (fit on train only)"
What is image normalization?,"Dividing pixel values by 255 (or using mean/std) to scale to [0,1] or N(0,1)"
What is class weight balancing?,Assigning higher loss weight to minority class during training
What is corpus in NLP?,Large collection of text data used for training/analysis
What is vocabulary in NLP?,Set of unique tokens in the dataset
What is OOV (Out-of-Vocabulary) handling?,Representing unknown words with special <UNK> token or subword tokenization
What is subword tokenization (BPE)?,Breaks rare words into common subword pieces to reduce OOV
What is sentence embedding?,Fixed-size vector representing entire sentence meaning
What is data balancing?,Adjusting class distribution to improve model fairness and performance
What is Stratified K-Fold's role in preprocessing context?,Ensures each fold has same class distribution as full dataset
What is the purpose of a feature engineering pipeline?,"Automates reproducible, consistent feature transformations for train and test"
What is PCA whitening?,PCA + scaling each component to unit variance
What is model training?,Adjusting model parameters to minimize loss function
What is the training loop?,Iterative process: forward pass â†’ compute loss â†’ backward pass â†’ update weights
What is the loss function's role?,Measures how wrong model predictions are
What is gradient?,Vector of partial derivatives of loss w.r.t. each parameter
What is weight update rule in gradient descent?,w = w âˆ’ lr Ã— gradient
What is local minimum in optimization?,Point where loss is lower than nearby points but not globally lowest
What is global minimum?,Point where loss is absolutely lowest across all parameter values
What is a saddle point?,Point where gradient is zero but is neither min nor max
Why does gradient descent struggle with saddle points in deep learning?,Loss plateaus make learning very slow even though not converged
What is learning rate warmup?,Gradually increasing learning rate at start of training for stability
Cosine annealing LR schedule:,"Decreases LR following cosine curve, possibly with warm restarts"
Step LR decay:,Reduces LR by factor every N epochs
Exponential LR decay:,LR reduced by factor Î³ at every epoch: lr = lrâ‚€ Ã— Î³áµ—
Reduce on Plateau:,Reduces LR when a metric stops improving
What is cyclic learning rate?,Oscillates between min and max LR to escape local minima
SGD with momentum update:,v = Î²v + gradient; w = w âˆ’ lr Ã— v
Momentum Î²=0.9 means:,90% past velocity + 10% current gradient contributes to update
Nesterov momentum:,Computes gradient at lookahead position (more accurate update)
RMSprop:,Divides LR by moving average of squared gradients (adapts per parameter)
Adam optimizer:,Combines momentum (first moment) and RMSprop (second moment)
Adam hyperparameters:,"lr, Î²â‚ (momentum), Î²â‚‚ (RMSprop term), Îµ (numerical stability)"
AdaGrad:,Adapts LR per parameter; decreases more for frequently updated
AdaGrad limitation:,"LR monotonically decreases, eventually becoming too small"
AdaDelta:,Addresses AdaGrad's diminishing LR using running average of updates
AMSGrad:,Adam variant ensuring monotonically decreasing effective LR (convergence guarantee)
What is gradient accumulation?,Accumulating gradients over multiple batches before updating (simulates larger batch)
What is gradient checkpointing?,Saves memory by recomputing activations during backward pass instead of storing
Mixed precision training (fp16):,Using float16 for forward/backward; float32 for weight updates â€” speeds up + saves memory
Automatic Mixed Precision (AMP):,PyTorch/TF tool that automatically handles fp16/fp32 switching safely
What is distributed training?,Training model across multiple GPUs/machines
Data parallelism:,Same model on each GPU; different data batches; gradients averaged
Model parallelism:,Model split across GPUs (for models too large to fit one GPU)
What is gradient synchronization in distributed training?,Averaging gradients from all workers after each batch
What is the forward pass?,Input propagated through network to produce prediction
What is the backward pass?,Computing gradients via backpropagation through the network
What is weight initialization's importance?,"Poor init can cause vanishing/exploding gradients, slow convergence"
Random initialization (Gaussian):,Small random values from Gaussian distribution
Zero initialization problem:,All neurons learn identical features (symmetry breaking fails)
What is the dead ReLU problem?,Neurons permanently stuck outputting 0 due to negative activation
How to fix dead ReLU?,"Use Leaky ReLU, PReLU, or ELU; careful weight init"
What is batch size effect on training?,"Larger batch: stable gradients, less regularization; Smaller: noisier, more regularizing"
Linear scaling rule for batch size:,"When multiplying batch size by k, multiply learning rate by k"
What is the loss landscape?,High-dimensional surface of loss values over all parameter combinations
What is loss curve (training curve)?,Plot of training loss over epochs/iterations
What does training loss decreasing but validation loss increasing indicate?,Overfitting â€” model memorizing training data
What is the warm-start technique?,Initializing model with weights from a previous run
What is curriculum learning?,"Training on easier examples first, gradually increasing difficulty"
What is self-paced learning?,"Model selects which samples to train on (starts with easy, adds hard)"
What is hard negative mining?,Selecting difficult negative examples for more effective training
What is class-balanced sampling?,Drawing equal samples per class per batch during training
What is weighted random sampling?,Each sample drawn with probability proportional to its weight
What is gradient norm?,L2 norm of all gradients â€” used in gradient clipping
Why monitor gradient norms during training?,Detect exploding gradients and training instability
What is loss masking?,Ignoring loss contribution from padding tokens or irrelevant positions
What is auxiliary loss?,Additional loss term added to help training of intermediate representations
What is multi-task learning?,Training one model on multiple related tasks simultaneously
What is pretraining?,Training model on large general dataset before fine-tuning on task
What is the difference between pretraining and fine-tuning?,Pretraining on large data; fine-tuning adapts to specific task
What is feature extraction (frozen layers)?,Using pre-trained model as fixed feature extractor; only train top layers
What is catastrophic forgetting?,Neural network forgets previously learned tasks when trained on new ones
Continual learning addresses:,Learning new tasks without forgetting old ones
What is Elastic Weight Consolidation (EWC)?,Prevents catastrophic forgetting by penalizing changes to important weights
What is knowledge distillation training?,Student network trained to match teacher network's soft probability outputs
What is temperature scaling in distillation?,Softens teacher's probability distribution to transfer more information
What is neural network pruning during training?,Removing unnecessary connections while maintaining performance
What is lottery ticket hypothesis?,Dense networks contain sparse subnetworks ('winning tickets') that train well alone
What is progressive resizing in image training?,"Training on small images first, gradually increasing resolution"
What is test-time augmentation (TTA)?,Averaging predictions over multiple augmented versions of test input
What is gradient tape in TensorFlow?,Context manager recording operations for automatic differentiation
What is autograd in PyTorch?,Automatic differentiation engine tracking operations for backprop
What is the purpose of optimizer.zero_grad() in PyTorch?,Clears accumulated gradients before computing new ones
What is loss.backward() in PyTorch?,Computes gradients via backpropagation
What is optimizer.step() in PyTorch?,Updates model parameters using computed gradients
What is model.train() vs model.eval() in PyTorch?,train(): activates dropout/batch norm; eval(): deactivates them
What is torch.no_grad() used for?,Disables gradient computation for inference (saves memory)
What is validation loss used for during training?,Monitor overfitting; guide early stopping; select best model
What is model checkpointing?,Saving model at best validation performance during training
What is early stopping criteria?,Validation loss not improving for N consecutive epochs (patience)
What is the effect of batch normalization on training?,"Stabilizes training, allows higher LR, acts as mild regularizer"
What is layer freezing in fine-tuning?,Preventing early layers from updating (keep pre-trained features)
What is discriminative fine-tuning?,Using different learning rates for different layers (lower for early)
What is cyclical fine-tuning?,Cycle between training different layer groups with varying LR
What is label smoothing and its effect on training?,Softens hard labels to prevent overconfidence; improves calibration
What is stochastic depth (DropPath)?,Randomly drops entire residual blocks during training
What is the effect of weight decay (L2) on trained weights?,"Pulls weights toward zero, preventing large weights"
What is mini-batch statistics vs population statistics in batch norm?,Training uses mini-batch stats; inference uses running stats
Linear regression: Å· = ?,Î²â‚€ + Î²â‚xâ‚ + Î²â‚‚xâ‚‚ + ... + Î²â‚™xâ‚™
Mean Squared Error (MSE) = ?,(1/n)Î£(yáµ¢ âˆ’ Å·áµ¢)Â²
Root Mean Squared Error (RMSE) = ?,âˆšMSE
Mean Absolute Error (MAE) = ?,(1/n)Î£|yáµ¢ âˆ’ Å·áµ¢|
RÂ² (Coefficient of Determination) = ?,1 âˆ’ SS_res/SS_tot
SS_tot = ?,Î£(yáµ¢ âˆ’ È³)Â²
SS_res = ?,Î£(yáµ¢ âˆ’ Å·áµ¢)Â²
Accuracy = ?,(TP + TN)/(TP + TN + FP + FN)
Precision = ?,TP/(TP + FP)
Recall (Sensitivity) = ?,TP/(TP + FN)
Specificity = ?,TN/(TN + FP)
F1-Score = ?,2 Ã— (Precision Ã— Recall)/(Precision + Recall)
F-beta Score = ?,(1 + Î²Â²) Ã— (P Ã— R)/(Î²Â²P + R)
Sigmoid function Ïƒ(x) = ?,1/(1 + e^âˆ’x)
Softmax: P(class k) = ?,e^zâ‚– / Î£â±¼ e^zâ±¼
ReLU: f(x) = ?,"max(0, x)"
Tanh: f(x) = ?,(e^x âˆ’ e^âˆ’x)/(e^x + e^âˆ’x)
Leaky ReLU: f(x) = ?,"max(Î±x, x) where Î± is small positive"
ELU: f(x) = ?,"x if x>0, else Î±(e^x âˆ’ 1)"
Cross-entropy loss (binary) = ?,âˆ’[y log(p) + (1âˆ’y) log(1âˆ’p)]
Cross-entropy loss (multiclass) = ?,âˆ’Î£â‚– yâ‚– log(pâ‚–)
Gradient descent update rule: w = ?,w âˆ’ Î·âˆ‡L(w)
L1 regularization penalty = ?,Î»Î£|wáµ¢|
L2 regularization penalty = ?,Î»Î£wáµ¢Â²
Elastic Net = ?,Î±Î»Î£|wáµ¢| + (1âˆ’Î±)Î»Î£wáµ¢Â²
KNN distance (Euclidean) = ?,âˆšÎ£(xáµ¢ âˆ’ yáµ¢)Â²
Manhattan distance = ?,Î£|xáµ¢ âˆ’ yáµ¢|
Cosine similarity = ?,(AÂ·B)/(|A||B|)
Naive Bayes: P(y|x) âˆ ?,P(y) Ã— Î P(xáµ¢|y)
Bayes theorem: P(A|B) = ?,P(B|A)P(A)/P(B)
Entropy: H(X) = ?,âˆ’Î£ p(x) logâ‚‚ p(x)
Information Gain = ?,Entropy(parent) âˆ’ weighted Entropy(children)
Gini impurity = ?,1 âˆ’ Î£ páµ¢Â²
KL Divergence: D_KL(P||Q) = ?,Î£ P(x) log(P(x)/Q(x))
Jensen-Shannon Divergence = ?,(1/2)[D_KL(P||M) + D_KL(Q||M)] where M=(P+Q)/2
Pearson correlation: r = ?,Î£(xáµ¢âˆ’xÌ„)(yáµ¢âˆ’È³)/[âˆšÎ£(xáµ¢âˆ’xÌ„)Â²âˆšÎ£(yáµ¢âˆ’È³)Â²]
"Covariance: Cov(X,Y) = ?",E[(Xâˆ’Î¼â‚“)(Yâˆ’Î¼áµ§)]
Variance: Var(X) = ?,E[(Xâˆ’Î¼)Â²]
Standard deviation = ?,âˆšVar(X)
Bias of an estimator = ?,E[Î¸Ì‚] âˆ’ Î¸ (expected estimate minus true value)
MSE of estimator = BiasÂ² + ?,Variance
Z-score standardization: z = ?,(x âˆ’ Î¼)/Ïƒ
Min-Max normalization: x' = ?,(x âˆ’ min)/(max âˆ’ min)
Silhouette score: s(i) = ?,"(b(i) âˆ’ a(i))/max(a(i), b(i))"
Adjusted Rand Index (ARI) = ?,(RI âˆ’ Expected_RI)/(max_RI âˆ’ Expected_RI)
Support in association rules = ?,count(AâˆªB)/N
Confidence in association rules = ?,count(AâˆªB)/count(A)
Lift = ?,Support(AâˆªB)/(Support(A)Ã—Support(B))
AUC (Area Under ROC) ideal value:,1.0 (perfect; random = 0.5)
"ROC curve axes: X=?, Y=?","X=FPR (1-Specificity), Y=TPR (Recall/Sensitivity)"
FPR = ?,FP/(FP + TN)
Precision-Recall AUC is better than ROC AUC when:,Dataset is heavily imbalanced
Log loss = ?,âˆ’(1/n)Î£[yáµ¢ log(Å·áµ¢) + (1âˆ’yáµ¢)log(1âˆ’Å·áµ¢)]
Huber loss (Î´): for |yâˆ’Å·| â‰¤ Î´ = ?,0.5(yâˆ’Å·)Â²
Huber loss: for |yâˆ’Å·| > Î´ = ?,Î´|yâˆ’Å·| âˆ’ 0.5Î´Â²
Hinge loss = ?,"max(0, 1 âˆ’ yÃ—Å·)"
Triplet loss = ?,"max(0, d(a,p) âˆ’ d(a,n) + margin)"
Contrastive loss = ?,"yÃ—dÂ² + (1âˆ’y)Ã—max(0, mâˆ’d)Â²"
Focal loss = ?,âˆ’Î±(1âˆ’pâ‚œ)^Î³ log(pâ‚œ)
Dice coefficient = ?,2|Aâˆ©B|/(|A|+|B|)
IoU (Intersection over Union) = ?,Area of Overlap / Area of Union
MAP (Mean Average Precision) in detection = ?,Mean of AP across all classes
OLS solution: Î² = ?,(Xáµ€X)â»Â¹Xáµ€y
Ridge regression solution: Î² = ?,(Xáµ€X + Î»I)â»Â¹Xáµ€y
Logistic regression: P(y=1|x) = ?,1/(1 + e^âˆ’(wáµ€x+b))
SVM margin = ?,2/||w||
SVM optimization: minimize ?,(1/2)||w||Â²
PCA: eigenvalue decomposition of ?,Covariance matrix Xáµ€X/n
Variance explained by PC k = ?,Î»â‚–/Î£Î»â±¼ (ratio of k-th eigenvalue to sum)
K-Means objective: minimize ?,Î£áµ¢ Î£â‚“âˆˆCáµ¢ ||x âˆ’ Î¼áµ¢||Â²
EM algorithm: E-step computes ?,Expected complete-data log likelihood Q(Î¸|Î¸_old)
ELBO (Evidence Lower BOund) = ?,"E[log p(x,z)] âˆ’ E[log q(z)] (used in VAE)"
VAE reparameterization: z = ?,"Î¼ + ÏƒÃ—Îµ where Îµ~N(0,I)"
GAN min-max: min_G max_D ?,E[log D(x)] + E[log(1âˆ’D(G(z)))]
"Attention: Attention(Q,K,V) = ?",softmax(QKáµ€/âˆšd_k)V
Scaled dot-product attention scaling by ?,âˆšd_k (square root of key dimension)
BLEU score n-gram precision = ?,clipped count of matching n-grams / total n-grams in hypothesis
Perplexity = ?,"2^H(p) where H is cross-entropy, or e^(avg loss) for neural LMs"
Expected Calibration Error (ECE) = ?,Weighted average of |accuracy âˆ’ confidence| across bins
F1 harmonic mean formula: 2PR/(P+R) vs arithmetic mean (P+R)/2: which is more conservative?,Harmonic mean (F1) â€” punishes large gaps between P and R more
Macro-averaging F1:,Compute F1 per class then average â€” treats all classes equally
Weighted-averaging F1:,"Compute F1 per class, weight by number of true instances (support)"
Cohen's Kappa = ?,(Accuracy âˆ’ Expected_Accuracy)/(1 âˆ’ Expected_Accuracy)
Matthews Correlation Coefficient (MCC) = ?,(TPÃ—TNâˆ’FPÃ—FN)/âˆš[(TP+FP)(TP+FN)(TN+FP)(TN+FN)]
Gradient of MSE loss w.r.t. Å· = ?,2(Å· âˆ’ y)/n
Gradient of cross-entropy loss w.r.t. logits (after softmax) = ?,Å· âˆ’ y (softmax output minus one-hot label)
Chain rule for backprop: âˆ‚L/âˆ‚w = ?,(âˆ‚L/âˆ‚a) Ã— (âˆ‚a/âˆ‚z) Ã— (âˆ‚z/âˆ‚w)
"Xavier initialization variance for layer with n_in, n_out:",2/(n_in + n_out)
He initialization variance:,2/n_in
Batch normalization: x_norm = ?,(x âˆ’ Î¼_B)/âˆš(Ïƒ_BÂ² + Îµ)
"After BN normalization, output y = ?",Î³ Ã— x_norm + Î² (learnable scale Î³ and shift Î²)
Adam update: m = Î²m + (1âˆ’Î²)g; v = Î²â‚‚v + (1âˆ’Î²â‚‚)gÂ². Weight update = ?,w âˆ’ lr Ã— mÌ‚/âˆš(vÌ‚ + Îµ)
Number of parameters in fully connected layer (n_inâ†’n_out):,n_in Ã— n_out + n_out (weights + biases)
"Convolutional layer parameters: kernel kÃ—k, in_channels C_in, out_channels C_out:",k Ã— k Ã— C_in Ã— C_out + C_out
"Output size of convolution: (W âˆ’ F + 2P)/S + 1 where W=input, F=filter, P=padding, S=stride:",Correct formula
Total variation (TV) loss used for:,Image smoothness regularization in style transfer / super-resolution
What is the Bayes theorem in ML?,P(A|B) = P(B|A)*P(A)/P(B) â€” basis for Naive Bayes classifier
What is a Naive Bayes classifier?,Probabilistic classifier assuming feature independence given class label
What is the k-nearest neighbors algorithm?,Classifies by majority vote of k nearest training examples
What is the curse of dimensionality?,Distance metrics become less meaningful in very high dimensional spaces
What is a decision tree?,Tree structure where each node is a feature split and leaves are predictions
What is information gain in decision trees?,Reduction in entropy after splitting on a feature
What is Gini impurity?,Probability of misclassifying a randomly chosen element: 1 - sum(p_i^2)
What is entropy in decision trees?,Measure of impurity/disorder: -sum(p_i * log2(p_i))
What is pruning in decision trees?,Removing branches that provide little predictive power to reduce overfitting
What is Random Forest?,Ensemble of decision trees trained on bootstrap samples with feature randomness
What is feature importance in Random Forest?,Average reduction in impurity across all trees for each feature
What is out-of-bag (OOB) error?,Error estimated on samples not used in training each tree (free validation)
What is Gradient Boosting?,Sequentially builds trees to correct residual errors of previous trees
What is XGBoost?,"Extreme Gradient Boosting with regularization, parallel processing, and efficiency"
What is LightGBM?,Gradient boosting using leaf-wise tree growth and histogram-based splits
What is CatBoost?,Gradient boosting with native categorical feature handling
What is AdaBoost?,Boosting algorithm assigning higher weights to misclassified examples
What is support vector machine (SVM)?,Finds optimal hyperplane maximizing margin between classes
What is the kernel trick in SVM?,Maps features to higher dimension implicitly via kernel function
What are common kernels in SVM?,"Linear, RBF (Gaussian), Polynomial, Sigmoid"
What is the C parameter in SVM?,Regularization: low C=wider margin+more violations; high C=narrow margin+fewer violations
What is the gamma parameter in RBF kernel?,Controls influence range of training examples â€” high gamma=small influence
What is logistic regression?,Linear model for binary classification using sigmoid function
What is softmax function?,Generalizes sigmoid to multi-class: converts logits to probability distribution
What is cross-entropy loss for classification?,Measures difference between predicted probability distribution and true labels
What is the KL divergence?,Measures how one probability distribution differs from another
What is mutual information?,Measures statistical dependence between two variables for feature selection
What is the chi-squared test for features?,Tests independence between categorical feature and target label
What is ANOVA F-test for features?,Tests if feature means differ across class labels for feature selection
What is recursive feature elimination (RFE)?,Recursively removes least important features until target count reached
What is the Lasso for feature selection?,L1 regularization drives unimportant feature coefficients to zero
What is ElasticNet?,Combines L1 and L2 regularization for feature selection and weight reduction
What is clustering?,Grouping similar data points without labels (unsupervised learning)
What is k-means clustering?,"Assigns points to k centroids, updates centroids iteratively until convergence"
What is the elbow method for k-means?,Plot inertia vs k â€” choose k where improvement slows significantly
What is the silhouette score?,Measures how similar a point is to its cluster vs nearest cluster
What is DBSCAN?,Density-based clustering finding arbitrary-shaped clusters and outliers
What is hierarchical clustering?,Creates cluster tree (dendrogram) by merging or splitting clusters
What is the linkage criterion in hierarchical clustering?,"How distance between clusters is measured: single, complete, average, Ward"
What is Gaussian Mixture Model (GMM)?,Probabilistic model assuming data is mixture of Gaussian distributions
What is the EM algorithm?,Expectation-Maximization for learning parameters of latent variable models
What is anomaly detection?,Identifying rare or unusual patterns that deviate from normal behavior
What is Isolation Forest?,Anomaly detection isolating outliers using random feature splits
What is Local Outlier Factor (LOF)?,Anomaly detection comparing local density of point to its neighbors
What is one-class SVM?,Learns boundary around normal data for anomaly detection
What is auto-encoder for anomaly detection?,Learns to reconstruct normal data â€” high reconstruction error = anomaly
What is time series forecasting?,Predicting future values based on historical sequential data
What is stationarity in time series?,"Statistical properties don't change over time (mean, variance constant)"
What is the ADF test?,Augmented Dickey-Fuller test for stationarity of time series
What is neural architecture search (NAS)?,Automated search for optimal neural network architecture
What is differentiable NAS (DARTS)?,Uses continuous relaxation and gradient descent for architecture search
What is hardware-aware NAS?,Optimizes for inference speed on target device alongside accuracy
What is the purpose of a learning rate warmup?,Avoid large unstable updates at start with randomly initialized weights
What is the cosine learning rate decay formula?,lr = lr_min + 0.5*(lr_max-lr_min)*(1+cos(pi*step/total_steps))
What is gradient penalty?,Adds penalty for gradient norm to enforce Lipschitz constraint in WGAN
What is the Lipschitz constraint?,Restricts function's rate of change â€” used in WGAN for stable training
What is spectral normalization?,Normalize weight matrices by their spectral norm for Lipschitz continuity
What is layer normalization?,Normalizes across features for a single sample (vs batch norm across batch)
What is instance normalization?,Normalizes each sample's spatial dimensions independently â€” used in style transfer
What is group normalization?,Divides channels into groups and normalizes within each group
What is AdaGrad optimizer?,Adapts learning rate per parameter using accumulated squared gradients
What is RMSProp optimizer?,Like AdaGrad but uses exponential moving average to prevent shrinking LR
What is AdamW optimizer?,Adam with decoupled weight decay â€” better generalization than standard Adam
What is the weight decay decoupling in AdamW?,"Applies weight decay to weights directly, not through gradient (different from L2)"
What is Lion optimizer?,Sign-based optimizer more memory-efficient than Adam
What is the Prodigy optimizer?,Automatically estimates learning rate from data without tuning
What is continual learning?,Model learns new tasks without forgetting previous ones (catastrophic forgetting)
What is catastrophic forgetting?,Neural network forgets previous task when learning new task
What is elastic weight consolidation (EWC)?,Penalizes changes to weights important for previous tasks
What is replay-based continual learning?,Store samples from previous tasks and replay during new task training
What is few-shot learning?,Learning to classify with very few labeled examples per class
What is zero-shot learning?,Classify unseen classes using semantic descriptions without examples
What is meta-learning?,Learning to learn â€” model adapts quickly to new tasks from few examples
What is MAML (Model-Agnostic Meta-Learning)?,Finds initialization that adapts quickly to new tasks with few gradient steps
What is contrastive learning?,"Learns representations by bringing similar examples close, pushing dissimilar apart"
What is SimCLR?,Contrastive learning framework using augmented views of same image
What is BYOL (Bootstrap Your Own Latent)?,Self-supervised learning without negative samples using online/target network
What is Barlow Twins?,Self-supervised method reducing redundancy between embedding dimensions
What is supervised contrastive learning?,Uses label information to group same-class samples in embedding space
What is the bias in a neural network?,Learnable parameter added to weighted sum before activation
What is the universal approximation theorem?,A feedforward network with one hidden layer can approximate any continuous function
What is multi-task learning?,Training one model on multiple related tasks simultaneously
What is semi-supervised learning?,Uses small labeled dataset and large unlabeled dataset together
What is self-supervised learning?,"Creates labels from data itself (predict masked tokens, next frame)"
What is the manifold hypothesis?,Real-world data lies on low-dimensional manifold in high-dimensional space
What is inductive bias?,Assumptions built into learning algorithm that help generalize from training data
What is the Occam's razor principle in ML?,Prefer simpler models when they explain data equally well
What is a calibrated model?,Predicted probability 0.7 means 70% of such predictions are actually correct
What is the F-beta score?,Weighted harmonic mean of precision and recall: beta>1 weights recall more
What is stratified k-fold cross-validation?,Preserves class distribution in each fold â€” better for imbalanced datasets
What is the imbalanced dataset problem?,"Model biased toward majority class â€” use oversampling, undersampling, or class weights"
What is SMOTE?,Synthetic Minority Oversampling Technique creating synthetic minority samples
What is class weight in ML?,Penalizes misclassification of minority class more during training
What is the precision-recall tradeoff?,Increasing threshold raises precision but lowers recall and vice versa
What is isotonic regression for calibration?,Non-parametric method mapping predicted scores to calibrated probabilities
What is the dummy classifier?,"Baseline classifier using simple rules (most frequent, random) to compare against"
What is the Matthews Correlation Coefficient?,Balanced metric for binary classification considering all four confusion matrix cells
What is Cohen's kappa?,Measures agreement between predicted and actual labels accounting for chance
What is the Brier score?,Mean squared error of probabilistic predictions â€” lower is better
What is log loss (binary cross-entropy)?,Penalizes confident wrong predictions more than uncertain wrong ones
What is the hinge loss?,"Used in SVM: max(0, 1 - y*f(x)) â€” zero loss for correct confident predictions"
What is focal loss?,Down-weights easy examples so model focuses on hard cases (used in object detection)
What is dice loss?,Overlap measure between predicted and true segmentation masks
What is multi-label classification?,Each sample can belong to multiple classes simultaneously
What is ordinal regression?,Predicts ordered categories (low/medium/high) respecting natural ordering
What is regression to the mean?,Extreme observations tend to be followed by more average ones
What is Pearson correlation limitation?,Only measures linear relationships â€” misses non-linear dependencies
What is Spearman correlation?,Rank-based correlation detecting monotonic (not just linear) relationships
What is the central limit theorem relevance to ML?,Large samples from any distribution have normally distributed means â€” justifies many ML assumptions
What is gradient-free optimization?,"Evolutionary algorithms, particle swarm â€” no gradient needed"
What is the lottery ticket hypothesis?,Dense networks contain sparse subnetworks (winning tickets) that train effectively alone
What is magnitude pruning?,Remove weights with smallest absolute values for model compression
What is structured pruning?,Remove entire filters/layers rather than individual weights
What is quantization-aware training benefit?,Model learns to be robust to quantization during training â€” better accuracy than post-training
What is the straight-through estimator?,Approximates gradient of discrete/non-differentiable operations for backprop
What is neural network surgery?,"Modifying trained network architecture (add layers, change connections)"
What is the purpose of a validation curve?,Shows how a hyperparameter affects train vs validation performance
What is the double descent phenomenon?,"Test error decreases, then increases (classical overfitting), then decreases again with more params"
What is grokking in deep learning?,Model suddenly generalizes long after achieving perfect training accuracy
What is Simpson's paradox in ML?,Trend appears in groups but reverses when groups are combined â€” data aggregation issue
What is causal inference vs correlation?,Causal: establishes cause-effect; Correlation: only association
What is propensity score matching?,Controls for confounders in observational studies to estimate causal effect
What is an instrumental variable?,Variable correlated with treatment but not outcome except through treatment â€” enables causal inference
What is A/B testing in ML context?,Controlled experiment comparing two model versions on real users
What is the multiple comparisons problem?,Running many statistical tests inflates false positive rate
What is Bonferroni correction?,Divide significance threshold by number of tests to control family-wise error rate
What is bootstrap confidence interval?,Resample data with replacement many times to estimate sampling distribution
What is effect size in ML experiments?,Magnitude of difference between models â€” statistical significance doesn't guarantee practical importance
What is Bayesian A/B testing?,Compute posterior probability one variant is better instead of p-values
What is power analysis?,Determines minimum sample size needed to detect an effect with given probability
What is the type I error (false positive)?,Rejecting null hypothesis when it's actually true
What is the type II error (false negative)?,Failing to reject null hypothesis when it's actually false
What is the p-value?,Probability of observing results as extreme as current ones if null hypothesis is true
What is the reproducibility crisis relevance to ML?,"Many ML results don't reproduce due to random seeds, data splits, implementation details"
What is the generalization gap?,Difference between training performance and test performance
What is the Vapnik-Chervonenkis (VC) dimension?,Measure of capacity/expressiveness of a hypothesis class
What is PAC learning?,Probably Approximately Correct â€” framework bounding generalization error
What is the empirical risk minimization?,Minimize loss on training data as proxy for true risk minimization
What is Rademacher complexity?,Measures model class's ability to fit random noise â€” bounds generalization error
What is transfer learning benefit?,Pretrained features from source task accelerate learning on target task
What is domain adaptation?,Transferring model from source domain to related target domain with distribution shift
What is covariate shift?,Training and test input distributions differ but conditional label distribution is the same
What is label shift (prior probability shift)?,Class distribution differs between train and test but P(x|y) is the same
What is importance weighting for covariate shift?,Reweight training samples by ratio of test to train density to correct bias
What is rejection sampling?,Generate samples from target distribution using easier proposal distribution
What is the curse of dimensionality for density estimation?,Exponentially more data needed to cover high-dimensional space
What is kernel density estimation (KDE)?,Non-parametric method estimating probability density using kernel functions
What is the bandwidth parameter in KDE?,"Controls smoothness: small=wiggly (overfit), large=smooth (underfit)"
What is model ensembling at test time?,Average predictions from multiple models for better accuracy and calibration
